,Unnamed: 0,date,approx_time,activity,details,name,location,0,1,2,3,4,5
0,0,2022-12-12,11:54:05,annotations: Ukraine,1.602270564030337e+18,SGNewsAlerts,UNKWN,,,,,,
1,1,2022-12-12,11:54:05,annotations: Lemekhani Nyirenda,1.602270564030337e+18,SGNewsAlerts,UNKWN,,,,,,
2,2,2022-12-12,11:54:05,annotations: Russia,1.602270564030337e+18,SGNewsAlerts,UNKWN,,,,,,
3,3,2022-12-12,11:54:05,annotations: Wagner,1.602270564030337e+18,SGNewsAlerts,UNKWN,,,,,,
4,4,2022-12-12,11:54:05,annotations: Wagner,1.602270564030337e+18,SGNewsAlerts,UNKWN,,,,,,
5,5,2022-12-12,11:54:05,annotations: Russia,1.602270564030337e+18,SGNewsAlerts,UNKWN,,,,,,
6,6,2022-12-12,11:54:05,annotations: UkraineWar,1.602270564030337e+18,SGNewsAlerts,UNKWN,,,,,,
7,7,2022-12-12,11:54:05,links: https://www.bbc.com/news/world-africa-63935260,1.602270564030337e+18,SGNewsAlerts,UNKWN,,,,,,
8,8,2022-05-13,15:31:04,tweeted: Ukraine war: Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner. https://t.co/KeqlrcLqXR #Wagner #Russia #UkraineWar #UkraineRussiaWar️,1.602270564030337e+18,SGNewsAlerts,UNKWN,,,,,,
9,9,2022-12-12,11:52:01,annotations: Russia,1.6022700411011973e+18,dave1agar,"Toronto, Canada",,,,,,
10,10,2022-12-12,11:52:01,annotations: Wagner,1.6022700411011973e+18,dave1agar,"Toronto, Canada",,,,,,
11,11,2022-12-12,11:52:01,annotations: Luhansk,1.6022700411011973e+18,dave1agar,"Toronto, Canada",,,,,,
12,12,2022-12-12,11:52:01,annotations: Ukraine,1.6022700411011973e+18,dave1agar,"Toronto, Canada",,,,,,
13,13,2022-12-12,11:52:01,links: https://www.bbc.co.uk/news/world-europe-63933132,1.6022700411011973e+18,dave1agar,"Toronto, Canada",,,,,,
14,14,2009-03-11,22:53:56,"tweeted: “Ukrainian forces have struck a headquarters of Russia's Wagner mercenary group, says the governor-in-exile of Luhansk in eastern Ukraine.” https://t.co/42XdJoGGQf",1.6022700411011973e+18,dave1agar,"Toronto, Canada",,,,,,
15,15,2022-12-12,11:51:20,mentions: demunderground,1.6022698719783404e+18,Dushan41,UNKWN,,,,,,
16,16,2022-12-12,11:51:20,links: https://democraticunderground.com/1017789656,1.6022698719783404e+18,Dushan41,UNKWN,,,,,,
17,17,2009-03-28,09:04:18,tweeted: Luhansk Wagner group base is destroyed by Ukraine - Times Radio - Democratic Underground https://t.co/8Kz6gsPHoJ via @demunderground,1.6022698719783404e+18,Dushan41,UNKWN,,,,,,
18,18,2022-12-12,11:50:16,mentions: FRANCE24,1.602269603173802e+18,demunderground,Washington DC,,,,,,
19,19,2022-12-12,11:50:16,links: https://f24.my/96kV.T,1.602269603173802e+18,demunderground,Washington DC,,,,,,
20,20,2012-05-11,19:44:29,"tweeted: Live: Ukraine claims strike on Wagner group HQ, says ‘huge number’ of Russian mercenaries killed https://t.co/RNLJbB9bdM @FRANCE24 2022/12/12 07:42",1.602269603173802e+18,demunderground,Washington DC,,,,,,
21,21,2022-12-12,11:50:00,annotations: Russia,1.6022695336869642e+18,jmarine,Japan,,,,,,
22,22,2022-12-12,11:50:00,annotations: Wagner,1.6022695336869642e+18,jmarine,Japan,,,,,,
23,23,2022-12-12,11:50:00,mentions: gullivercragg,1.6022695336869642e+18,jmarine,Japan,,,,,,
24,24,2022-12-12,11:50:00,mentions: gullivercragg,1.6022695336869642e+18,jmarine,Japan,,,,,,
25,25,2022-12-12,11:50:00,links: https://twitter.com/France24_en/status/1602269533686964224/video/1,1.6022695336869642e+18,jmarine,Japan,,,,,,
26,26,2008-03-04,05:41:22,"tweeted: @gullivercragg 🔴War in 🇺🇦: A Ukrainian senior official has claimed that the country’s forces attacked a hotel where members of Russia’s private #Wagner military group were based, and allegedly killed ‘a huge number’ of them.

Here's @gullivercragg with what we know ⤵️ https://t.co/FxKIkcjrvK",1.6022695336869642e+18,jmarine,Japan,,,,,,
27,27,2022-12-12,11:49:30,annotations: Wagner Group,1.6022694099633807e+18,FRANCE24,"Paris, France",,,,,,
28,28,2022-12-12,11:49:30,annotations: Clayderman Group,1.6022694099633807e+18,FRANCE24,"Paris, France",,,,,,
29,29,2022-12-12,11:49:30,links: https://twitter.com/TheEndOfPutin5/status/1602269409963380736/photo/1,1.6022694099633807e+18,FRANCE24,"Paris, France",,,,,,
30,30,2007-03-23,09:40:48,"tweeted: 🚨🚨🚨 HOT NEWS !!!
To have the name correspond better to the quality of their work, Wagner Group has been renamed Clayderman Group today; https://t.co/K3aomTn6XU",1.6022694099633807e+18,FRANCE24,"Paris, France",,,,,,
31,31,2022-12-12,11:44:36,annotations: Ukraine,1.6022681758271898e+18,France24_en,"Paris, France",,,,,,
32,32,2022-12-12,11:44:36,annotations: Lemekhani Nyirenda,1.6022681758271898e+18,France24_en,"Paris, France",,,,,,
33,33,2022-12-12,11:44:36,annotations: Russia,1.6022681758271898e+18,France24_en,"Paris, France",,,,,,
34,34,2022-12-12,11:44:36,annotations: Wagner,1.6022681758271898e+18,France24_en,"Paris, France",,,,,,
35,35,2022-12-12,11:44:36,links: https://www.bbc.co.uk/news/world-africa-63935260?at_medium=RSS&at_campaign=KARANGA,1.6022681758271898e+18,France24_en,"Paris, France",,,,,,
36,36,2009-03-18,09:22:54,"tweeted: (En) Ukraine war: Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner
#123INFO
https://t.co/LGlB61VDwI",1.6022681758271898e+18,France24_en,"Paris, France",,,,,,
37,37,2022-12-12,11:43:23,annotations: Ukraine,1.6022678678310502e+18,gullivercragg,"Kyiv, Ukraine",,,,,,
38,38,2022-12-12,11:43:23,annotations: Lemekhani Nyirenda,1.6022678678310502e+18,gullivercragg,"Kyiv, Ukraine",,,,,,
39,39,2022-12-12,11:43:23,annotations: Russia,1.6022678678310502e+18,gullivercragg,"Kyiv, Ukraine",,,,,,
40,40,2022-12-12,11:43:23,links: https://news.bringlifestyle.com/ukraine-war-lemekhani-nyirenda-was-recruited-by-russias-mercenary-group-wagner/,1.6022678678310502e+18,gullivercragg,"Kyiv, Ukraine",,,,,,
41,41,2009-06-22,14:47:47,tweeted: Ukraine war: Lemekhani Nyirenda was recruited by Russia’s mercenary group Wagner https://t.co/NcsMl3f25b,1.6022678678310502e+18,gullivercragg,"Kyiv, Ukraine",,,,,,
42,42,2022-12-12,11:42:37,annotations: Wagner Group,1.6022676763149312e+18,TheEndOfPutin5,nowhere,,,,,,
43,43,2022-12-12,11:42:37,annotations: Vladimir Putin,1.6022676763149312e+18,TheEndOfPutin5,nowhere,,,,,,
44,44,2022-12-12,11:42:37,annotations: Wagner,1.6022676763149312e+18,TheEndOfPutin5,nowhere,,,,,,
45,45,2022-12-12,11:42:37,annotations: Ukraine,1.6022676763149312e+18,TheEndOfPutin5,nowhere,,,,,,
46,46,2022-04-25,15:04:08,"tweeted: private military force, the ""Wagner Group,"" a state-sanctioned group founded by an Ally of President Vladimir Putin.

Wagner soldiers, widely seen as mercenaries, are fighting alongside the regular Russian army in Ukraine, particularly in the east of the country, where fighting",1.6022676763149312e+18,TheEndOfPutin5,nowhere,,,,,,
47,47,2022-12-12,11:42:35,annotations: Luhansk,1.602267667469144e+18,Africa_News_Off,Africa,,,,,,
48,48,2022-12-12,11:42:35,annotations: Wagner,1.602267667469144e+18,Africa_News_Off,Africa,,,,,,
49,49,2022-12-12,11:42:35,annotations: Ukraine,1.602267667469144e+18,Africa_News_Off,Africa,,,,,,
50,50,2022-12-12,11:42:35,annotations: Belgrade,1.602267667469144e+18,Africa_News_Off,Africa,,,,,,
51,51,2022-12-12,11:42:35,annotations: Serbia,1.602267667469144e+18,Africa_News_Off,Africa,,,,,,
52,52,2022-12-12,11:42:35,annotations: Wagner,1.602267667469144e+18,Africa_News_Off,Africa,,,,,,
53,53,2019-09-23,02:14:13,"tweeted: Russian mercenaries suffered 'very significant' losses in Luhansk, official says
A mural praises the Russian Wagner group and its mercenaries fighting in Ukraine on March 30, 2022 in Belgrade, Serbia.
A mural praises the Russian Wagner group and its mercenaries fighting",1.602267667469144e+18,Africa_News_Off,Africa,,,,,,
54,0,2022-12-12,11:42:08,links: https://twitter.com/mariataylor6581/status/1602267553866584064/photo/1,1.602267553866584e+18,mariataylor6581,Canterbury,,,,,,
55,1,2015-12-22,08:38:18,tweeted: Ukraine war: Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner https://t.co/5PcIql4Xfy,1.602267553866584e+18,mariataylor6581,Canterbury,,,,,,
56,2,2022-12-12,11:41:56,annotations: FBI,1.6022675042603827e+18,AbuuZah,Global Citizen,,,,,,
57,3,2022-12-12,11:41:56,annotations: Wagner Group,1.6022675042603827e+18,AbuuZah,Global Citizen,,,,,,
58,4,2022-12-12,11:41:56,annotations: Ukraine,1.6022675042603827e+18,AbuuZah,Global Citizen,,,,,,
59,5,2022-12-12,11:41:56,annotations: Wagner Group,1.6022675042603827e+18,AbuuZah,Global Citizen,,,,,,
60,6,2022-12-12,11:41:56,annotations: Kamakaze,1.6022675042603827e+18,AbuuZah,Global Citizen,,,,,,
61,7,2022-12-12,11:41:56,mentions: SamRamani2,1.6022675042603827e+18,AbuuZah,Global Citizen,,,,,,
62,8,2011-10-04,19:27:51,"tweeted: @SamRamani2 Last week, the FBI declared Wagner Group most wanted, today Ukraine strike the Wagner Group, surely they were given instructions and coordinates to strike, they must be prepared for Kamakaze",1.6022675042603827e+18,AbuuZah,Global Citizen,,,,,,
63,9,2022-12-12,11:41:22,links: https://tubelive.page.link/E5xP25WwLrJ45YCJ9,1.6022673613690102e+18,SamRamani2,"Oxford, England",,,,,,
64,10,2013-10-12,23:22:53,"tweeted: Clarissa Ward breaks down Wagner Group head’s warning to US
##UK ##SlavaUkraini ##QatarWorldCup2022 ##UkraineRussianWar # ##USA
https://t.co/7ZeFtnvDF5",1.6022673613690102e+18,SamRamani2,"Oxford, England",,,,,,
65,11,2022-12-12,11:40:05,annotations: Kadiivka,1.602267040458457e+18,cnnnewsukraine,UNKWN,,,,,,
66,12,2022-12-12,11:40:05,annotations: Luhansk region,1.602267040458457e+18,cnnnewsukraine,UNKWN,,,,,,
67,13,2022-12-12,11:40:05,annotations: Russia,1.602267040458457e+18,cnnnewsukraine,UNKWN,,,,,,
68,14,2022-12-12,11:40:05,annotations: Wagner,1.602267040458457e+18,cnnnewsukraine,UNKWN,,,,,,
69,15,2022-12-12,11:40:05,links: https://www.msn.com/en-gb/news/world/live-ukraine-claims-strike-on-wagner-group-hq-says-huge-number-of-russian-mercenaries-killed/ar-AA15apGM?ocid=msedgntp&cvid=b331302f783248eaada10ece5fe04a0e,1.602267040458457e+18,cnnnewsukraine,UNKWN,,,,,,
70,16,2014-10-19,22:38:50,"tweeted: Ukrainian official claimed Sunday: forces attacked a hotel in the city of Kadiivka in the occupied Luhansk region, where Russia’s private Wagner military are based, allegedly killing ‘a huge number’ of them. [report not confirmed independently].  https://t.co/A8jcIpuCjU",1.602267040458457e+18,cnnnewsukraine,UNKWN,,,,,,
71,17,2022-12-12,11:38:08,annotations: Ukraine,1.6022665501650862e+18,robdn,"London, England",,,,,,
72,18,2022-12-12,11:38:08,annotations: Putin,1.6022665501650862e+18,robdn,"London, England",,,,,,
73,19,2022-12-12,11:38:08,annotations: Wagner HQ,1.6022665501650862e+18,robdn,"London, England",,,,,,
74,20,2022-12-12,11:38:08,annotations: Wagner Group,1.6022665501650862e+18,robdn,"London, England",,,,,,
75,21,2022-12-12,11:38:08,annotations: Ukraine,1.6022665501650862e+18,robdn,"London, England",,,,,,
76,22,2022-12-12,11:38:08,links: https://www.msn.com/en-us/news/world/ukraine-news-live-many-killed-in-strike-on-putin-s-private-wagner-hq-in-eastern-battle/ar-AA15a7HU?cvid=06a3f7fc923a4d32ae5a2f91eb5360bd,1.6022665501650862e+18,robdn,"London, England",,,,,,
77,23,2009-07-11,13:39:50,"tweeted: Ukraine news - live: ‘Many killed’ in strike on Putin’s private Wagner HQ in eastern battle https://t.co/TaSZrtSyyy Love it, wish the leaders of Wagner Group were there when it was hit. Go Ukraine!",1.6022665501650862e+18,robdn,"London, England",,,,,,
78,24,2022-12-12,11:35:22,annotations: Ukraine,1.6022658523504312e+18,DeborahLago5,UNKWN,,,,,,
79,25,2022-12-12,11:35:22,annotations: Lemekhani Nyirenda,1.6022658523504312e+18,DeborahLago5,UNKWN,,,,,,
80,26,2022-12-12,11:35:22,annotations: Russia,1.6022658523504312e+18,DeborahLago5,UNKWN,,,,,,
81,27,2022-12-12,11:35:22,annotations: Wagner,1.6022658523504312e+18,DeborahLago5,UNKWN,,,,,,
82,28,2022-12-12,11:35:22,links: https://www.bbc.co.uk/news/world-africa-63935260,1.6022658523504312e+18,DeborahLago5,UNKWN,,,,,,
83,29,2019-05-06,15:15:47,"tweeted: #Ukraine war: Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner
https://t.co/6OKafNyL8G",1.6022658523504312e+18,DeborahLago5,UNKWN,,,,,,
84,30,2022-12-12,11:31:24,annotations: Ukraine,1.6022648554567475e+18,2dialogue,"Sarasota, FL",,,,,,
85,31,2022-12-12,11:31:24,annotations: Wagner,1.6022648554567475e+18,2dialogue,"Sarasota, FL",,,,,,
86,32,2022-12-12,11:31:24,annotations: Blackwater,1.6022648554567475e+18,2dialogue,"Sarasota, FL",,,,,,
