,date,approx_time,activity,details,name,location
0,2022-12-12,11:44:36,annotations: Ukraine,1602268175827189760,Africa_News_Off,Africa
1,2022-12-12,11:44:36,annotations: Lemekhani Nyirenda,1602268175827189760,Africa_News_Off,Africa
2,2022-12-12,11:44:36,annotations: Russia,1602268175827189760,Africa_News_Off,Africa
3,2022-12-12,11:44:36,annotations: Wagner,1602268175827189760,Africa_News_Off,Africa
4,2022-12-12,11:44:36,links: https://www.bbc.co.uk/news/world-africa-63935260?at_medium=RSS&at_campaign=KARANGA,1602268175827189760,Africa_News_Off,Africa
5,2019-09-23,02:14:13,"tweeted: (En) Ukraine war: Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner
#123INFO
https://t.co/LGlB61VDwI",1602268175827189760,Africa_News_Off,Africa
6,2022-12-12,11:43:23,annotations: Ukraine,1602267867831050240,lifestylepro6,Pakistan
7,2022-12-12,11:43:23,annotations: Lemekhani Nyirenda,1602267867831050240,lifestylepro6,Pakistan
8,2022-12-12,11:43:23,annotations: Russia,1602267867831050240,lifestylepro6,Pakistan
9,2022-12-12,11:43:23,links: https://news.bringlifestyle.com/ukraine-war-lemekhani-nyirenda-was-recruited-by-russias-mercenary-group-wagner/,1602267867831050240,lifestylepro6,Pakistan
10,2022-03-08,06:10:28,tweeted: Ukraine war: Lemekhani Nyirenda was recruited by Russia’s mercenary group Wagner https://t.co/NcsMl3f25b,1602267867831050240,lifestylepro6,Pakistan
11,2022-12-12,11:42:37,annotations: Wagner Group,1602267676314931201,SuzannePaganFG,UNKWN
12,2022-12-12,11:42:37,annotations: Vladimir Putin,1602267676314931201,SuzannePaganFG,UNKWN
13,2022-12-12,11:42:37,annotations: Wagner,1602267676314931201,SuzannePaganFG,UNKWN
14,2022-12-12,11:42:37,annotations: Ukraine,1602267676314931201,SuzannePaganFG,UNKWN
15,2017-10-01,17:18:13,"tweeted: private military force, the ""Wagner Group,"" a state-sanctioned group founded by an Ally of President Vladimir Putin.

Wagner soldiers, widely seen as mercenaries, are fighting alongside the regular Russian army in Ukraine, particularly in the east of the country, where fighting",1602267676314931201,SuzannePaganFG,UNKWN
16,2022-12-12,11:42:35,annotations: Luhansk,1602267667469144066,mariataylor6581,Canterbury
17,2022-12-12,11:42:35,annotations: Wagner,1602267667469144066,mariataylor6581,Canterbury
18,2022-12-12,11:42:35,annotations: Ukraine,1602267667469144066,mariataylor6581,Canterbury
19,2022-12-12,11:42:35,annotations: Belgrade,1602267667469144066,mariataylor6581,Canterbury
20,2022-12-12,11:42:35,annotations: Serbia,1602267667469144066,mariataylor6581,Canterbury
21,2022-12-12,11:42:35,annotations: Wagner,1602267667469144066,mariataylor6581,Canterbury
22,2015-12-22,08:38:18,"tweeted: Russian mercenaries suffered 'very significant' losses in Luhansk, official says
A mural praises the Russian Wagner group and its mercenaries fighting in Ukraine on March 30, 2022 in Belgrade, Serbia.
A mural praises the Russian Wagner group and its mercenaries fighting",1602267667469144066,mariataylor6581,Canterbury
23,2022-12-12,11:42:08,links: https://twitter.com/mariataylor6581/status/1602267553866584064/photo/1,1602267553866584064,AbuuZah,Global Citizen
24,2011-10-04,19:27:51,tweeted: Ukraine war: Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner https://t.co/5PcIql4Xfy,1602267553866584064,AbuuZah,Global Citizen
25,2022-12-12,11:41:56,mentions: SamRamani2,1602267504260382720,SamRamani2,"Oxford, England"
26,2022-12-12,11:41:56,annotations: FBI,1602267504260382720,SamRamani2,"Oxford, England"
27,2022-12-12,11:41:56,annotations: Wagner Group,1602267504260382720,SamRamani2,"Oxford, England"
28,2022-12-12,11:41:56,annotations: Ukraine,1602267504260382720,SamRamani2,"Oxford, England"
29,2022-12-12,11:41:56,annotations: Wagner Group,1602267504260382720,SamRamani2,"Oxford, England"
30,2022-12-12,11:41:56,annotations: Kamakaze,1602267504260382720,SamRamani2,"Oxford, England"
31,2013-10-12,23:22:53,"tweeted: @SamRamani2 Last week, the FBI declared Wagner Group most wanted, today Ukraine strike the Wagner Group, surely they were given instructions and coordinates to strike, they must be prepared for Kamakaze",1602267504260382720,SamRamani2,"Oxford, England"
32,2022-12-12,11:41:22,links: https://tubelive.page.link/E5xP25WwLrJ45YCJ9,1602267361369010178,cnnnewsukraine,UNKWN
33,2014-10-19,22:38:50,"tweeted: Clarissa Ward breaks down Wagner Group head’s warning to US
##UK ##SlavaUkraini ##QatarWorldCup2022 ##UkraineRussianWar # ##USA
https://t.co/7ZeFtnvDF5",1602267361369010178,cnnnewsukraine,UNKWN
34,2022-12-12,11:40:05,annotations: Kadiivka,1602267040458457090,robdn,"London, England"
35,2022-12-12,11:40:05,annotations: Luhansk region,1602267040458457090,robdn,"London, England"
36,2022-12-12,11:40:05,annotations: Russia,1602267040458457090,robdn,"London, England"
37,2022-12-12,11:40:05,annotations: Wagner,1602267040458457090,robdn,"London, England"
